Name,Location,Description,Accelerator,Batch,Status
Stepful,"NewYork,NY,USA",Online Training for Healthcare Jobs,Y Combinator,S21,
Synder,"SanFrancisco,CA,USA",Easy accounting for e-commerce,Y Combinator,S21,
Quest,"Amsterdam,Netherlands",Audio career advice,Y Combinator,S21,
Café,"Paris,France",Social Hub for Hybrid Teams,Y Combinator,S21,
Datlo,"Maringá-Floriano,Maringá-StateofParaná,Brazil",Datlo helps companies increase sales and expand through data,Y Combinator,S21,
OneShop,"SanFrancisco,CA,USA",Operating system for reselling online,Y Combinator,S21,
FirstIgnite,"TraverseCity,MI,USA",Connecting Industry and Academia,Y Combinator,S21,
Aviator,"SanFrancisco,CA,USA",Google-level engineering productivity suite,Y Combinator,S21,
LabSimply,"Urbana,IL,USA",CRISPR powered Diagnostics with results in < 5mins,Y Combinator,S21,
Talentdrop,"Atherton,CA,USA",Marketplace that matches talent to a company's needs.,Y Combinator,S21,
Stack,"Bengaluru,Karnataka,India",Vanguard of India for Effortless Investing,Y Combinator,S21,
GamerPay,"Copenhagen,Denmark",We are the marketplace for trading gaming skins & assets without scams,Y Combinator,S21,
Sitenna,"Birmingham,UK",B2B SaaS for telecom companies to find new sites for towers & antennae,Y Combinator,S21,
Evidence,"Toronto,ON,Canada",Business intelligence for modern data teams,Y Combinator,S21,
Protego,"Bogotá,Bogota,Colombia",We help companies recover lost revenue from chargebacks,Y Combinator,S21,
LuminateMedical,"Galway,Ireland",We build medical devices to stop the side effects of cancer treatment.,Y Combinator,S21,
Pactima,"Ottawa,ON,Canada",Live video signing for real-time agreements,Y Combinator,S21,
MediumBiosciences,"Boston,MA,USA",Deep Learning for Enzyme Engineering,Y Combinator,S21,
Adra,Singapore,Driving dental clinic revenue by finding more cavities,Y Combinator,S21,
BlackOakTV,"NewYork,NY,USA",A video subscription platform serving black viewers and creators.,Y Combinator,S21,
Tantl,"SanFrancisco,CA,USA",Enabling developers to build internal workflows 10x faster.,Y Combinator,S21,
Spoken,"NewYork,NY,USA",Never overpay online,Y Combinator,S21,
StandardCode,"SanFrancisco,CA,USA",APIs for parental consent and age verification,Y Combinator,S21,
SFATherapeutics,"Philadelphia,PA,USA",Regulating the immune system to block cancer & autoimmune diseases,Y Combinator,S21,
Codex,Canada,Make programming multiplayer,Y Combinator,S21,
Saay,"SanFrancisco,CA,USA",Actionable Insights for sales teams to close more deals,Y Combinator,S21,
Mindmesh,"Boston,MA,USA",Mindmesh is the virtual desk that puts you in control. ,Y Combinator,S21,
Opkit,"NewYork,NY,USA",Stripe for healthcare,Y Combinator,S21,
Crew,"Paris,France",Modern Recruiting CRM,Y Combinator,S21,
Therify,"NewYork,NY,USA",Inclusive mental healthcare for companies,Y Combinator,S21,
Phykos,"SanFrancisco,CA,USA",Growing seaweed to stabilize the climate.,Y Combinator,S21,
Shopscribe,"London,UK",Subscriptions for local shops,Y Combinator,S21,
Plai,"LosAngeles,CA,USA",Launch targeted ads from your phone in seconds,Y Combinator,S21,
Atlas,Singapore,"Operating system for restaurants, focusing on Southeast Asia",Y Combinator,S21,
CellChorus,"Houston,TX,USA",Dynamic single-cell analysis,Y Combinator,S21,
OutputBiosciences,"NewYork,NY,USA",Extending human healthspan,Y Combinator,S21,
Abatable,"London,UK",Carbon procurement platform for high quality offsetting,Y Combinator,S21,
ContraForce,"McKinney,TX,USA",The Security Management Platform for SMBs,Y Combinator,S21,
Storylane,"SantaClara,CA,USA",Build Interactive Product Demo in 10 mins for SaaS companies,Y Combinator,S21,
StrideQ(formerlySliceQ),"MountainView,CA,USA",Automated phone ordering system for restaurants,Y Combinator,S21,
ByteKitchen,"SanMateo,CA,USA",Byte kitchen brings America's best restaurants to your neighbourhood,Y Combinator,S21,
MovingParts,"Berlin,Germany",Delightful components for iOS.,Y Combinator,S21,
Membo,"Tallinn,Estonia","Groceries fresher than a farmer’s market, delivered to you (EU)",Y Combinator,S21,
Orderli,"Amsterdam,Netherlands",Square for Europe,Y Combinator,S21,
Suplias,"Lagos,Nigeria",Where small grocery stores in Africa buy inventory,Y Combinator,S21,
Abhi,"KarachiCity,Sindh,Pakistan",Abhi is Pakistan's 1st financial wellness platform focusing on…,Y Combinator,S21,
Pandai,"KualaLumpur,FederalTerritoryofKualaLumpur,Malaysia",Learning app for school students in Southeast Asia,Y Combinator,S21,
Verde,"SãoPaulo,StateofSãoPaulo,Brazil",Digital lending platform for Brazilian farmers,Y Combinator,S21,
Coinfeeds,"SanFrancisco,CA,USA",Bloomberg for cryptocurrencies,Y Combinator,S21,
idemeum,"PaloAlto,CA,USA",Passwordless application management platform.,Y Combinator,S21,
RuthHealth,"LosAngeles,CA,USA",Telehealth hub for pregnant people 🧡,Y Combinator,S21,
Teamspace,"London,UK",A shared canvas for work.,Y Combinator,S21,
Baubap,"MexicoCity,CDMX,Mexico",Smart micro financing for everyone,Y Combinator,S21,
Oneistox,"Delhi,India",Online cohort based courses in design and architecture,Y Combinator,S21,
Kapacity.io,"Helsinki,Finland",Reducing energy costs & emissions in buildings.,Y Combinator,S21,
Plug,"RiodeJaneiro,StateofRiodeJaneiro,Brazil",Plug is an API to accept payments with multiple payment providers,Y Combinator,S21,
TuliHealth,"London,UK",Transforming pharmacies in the UK into diagnostic centers,Y Combinator,S21,
Stownest,"Bengaluru,Karnataka,India","Valet Self Storage - Flexible, Full-Service Storage Spaces for INDIA",Y Combinator,S21,
Filadd,"Córdoba,Cordoba,Argentina",We help students in Latin America graduate from College.,Y Combinator,S21,
KiwiBiosciences,"Boston,MA,USA",Patent-pending enzymes to break down common dietary triggers,Y Combinator,S21,
Nasdisc,"SanFrancisco,CA,USA","A marketplace for vinyl, cassettes and cds",Y Combinator,S21,
Luable,"Bogotá,Bogota,Colombia",Online broker for high yield savings accounts in Latin America,Y Combinator,S21,
CaireHealth,"Florida,USA",Semi-Autonomous Diagnostics for Emergent Care,Y Combinator,S21,
bloop,"London,UK",Radically better code-search,Y Combinator,S21,
Synth,"Bengaluru,Karnataka,India",Second brain for knowledge workers,Y Combinator,S21,
Pylon,"Cairo,CairoGovernorate,Egypt",Infrastructure management software for water & electricity companies,Y Combinator,S21,
Dime,"SanFrancisco,CA,USA",Turn your content into unique digital collectibles.,Y Combinator,S21,
Telivy,"SanFrancisco,CA,USA",Fastest way to purchase cyber insurance for small businesses,Y Combinator,S21,
Zuma,"SanFrancisco,CA,USA",We help businesses convert leads into sales in minutes using text,Y Combinator,S21,
PAYZE,"Tbilisi,Georgia",Stripe for former Soviet Union countries,Y Combinator,S21,
HumaneGenomics,"NewYork,NY,USA",A platform to make artificial viruses as cancer therapeutics.,Y Combinator,S21,
Algofi,Unkown,Building the best DeFi experience,Y Combinator,S21,
FemaleInvest,"Copenhagen,Denmark",Female Invest is a social e-learning platform for investing ,Y Combinator,S21,
Ferveret,"SanJose,CA,USA",Ferveret develops liquid cooling technology for data centers,Y Combinator,S21,
Filta,"SanFrancisco,CA,USA",The Face Filter NFT Marketplace,Y Combinator,S21,
Siglo,"MexicoCity,CDMX,Mexico",Home Internet for urban Latin America,Y Combinator,S21,
Waterplan,"SanFrancisco,CA,USA",Water risk mitigation for industrial sites,Y Combinator,S21,
BuoyantAero,"SanFrancisco,CA,USA",Using drone blimps to move middle mile air freight at half the cost.,Y Combinator,S21,
Argus,"NewYork,NY,USA",The next generation of employee compliance,Y Combinator,S21,
BedrockAI,"Toronto,ON,Canada",Find what matters - investment research at scale,Y Combinator,S21,
Greenwork,"SanFrancisco,CA,USA",LinkedIn for Skilled Blue-Collar Workers,Y Combinator,S21,
Nomod,"London,UK",Square minus the hardware,Y Combinator,S21,
Genuity,"Chicago,IL,USA",SaaS Platform to manage IT and buy business software  ,Y Combinator,S21,
Genomelink,"Berkeley,CA,USA",DNA App Store,Y Combinator,S21,
Telmai,"FosterCity,CA,USA",Data quality profiling and monitoring,Y Combinator,S21,
Infina,"HoChiMinhCity,Vietnam",Robinhood of Vietnam (retail investing app),Y Combinator,S21,
Lumify,"SanFrancisco,CA,USA",The super app for healthcare workers.,Y Combinator,S21,
Pillar,"Austin,TX,USA",Infrastructure Layer for Health Coaching,Y Combinator,S21,
Tenyks,"Cambridge,UK",Inventing the way humanity interacts with AI,Y Combinator,S21,
Chari,"Casablanca,Morocco",B2B e-commerce and fintech platform for traditional proximity stores ,Y Combinator,S21,
Noloco,"Dublin,Ireland",Instantly create apps around your business data. Without code.,Y Combinator,S21,
Litnerd,"NewYork,NY,USA",Teaching 37M students to read with live-stream actors,Y Combinator,S21,
Dots💸,"SanFrancisco,CA,USA",Developer friendly drop in payouts infrastructure,Y Combinator,S21,
ReveryAI,"Emeryville,CA,USA",Virtual dressing room at Scale,Y Combinator,S21,
Pointer,"FortWorth,TX,USA",Platform for devs to learn web3 skills and earn crypto for learning,Y Combinator,S21,
Mach9Robotics,"Pittsburgh,PA,USA",The Operating System for Cities,Y Combinator,S21,
Examedi,"Santiago,SantiagoMetropolitanRegion,Chile",Uber for Healthcare in Latinamerica,Y Combinator,S21,
Ancana,"Mérida,Yucatan,Mexico",Marketplace to buy managed vacation homes through fractional ownership,Y Combinator,S21,
Onfolk,"London,UK",Gusto for Europe,Y Combinator,S21,
CostCertified,"Calgary,AB,Canada",Amazon for Construction,Y Combinator,S21,
FloatPays,"CapeTown,SouthAfrica",On-demand wage access service built for the African market,Y Combinator,S21,
HitPay,Singapore,No code payment processing for SMBs in South East Asia,Y Combinator,S21,
Coast,"Evanston,IL,USA",Operating system for API sales,Y Combinator,S21,
TransAstraCorporation,"LosAngeles,CA,USA","Orbital logistics: Unleashing space industry, from Earth to asteroids",Y Combinator,S21,
Float,"Honolulu,HI,USA",Supply chain finance for consumer brands,Y Combinator,S21,
TheBreakaway,"Truckee,CA96161,USA",A motivational coaching platform for fitness enthusiasts.,Y Combinator,S21,
Matrubials,"Davis,CA,USA",Developing milk-inspired therapeutics for infectious diseases,Y Combinator,S21,
Writesonic,"SanFrancisco,CA,USA",AI-powered copywriting and content marketing.,Y Combinator,S21,
AkuteHealth,"Austin,TX,USA",A medical record system for digital health companies.,Y Combinator,S21,
outloud.ai,"Miami,FL,USA",Building Gong.io for offline retail.,Y Combinator,S21,
Sirka,"Jakarta,Indonesia",Noom for Southeast Asia,Y Combinator,S21,
Mentum,"SanFrancisco,CA,USA",Investment management API for LATAM,Y Combinator,S21,
Meticulous,"London,UK",Software to catch bugs in web apps with zero-effort from developers.,Y Combinator,S21,
Warrant,"LosAngeles,CA,USA",APIs for authorization and access control.,Y Combinator,S21,
SparkStudio,"Bengaluru,Karnataka,India",Online extracurricular courses for kids (5-15 yrs),Y Combinator,S21,
AdaptyvBiosystems,"Lausanne,Switzerland",High-throughput protein synthesis & screening,Y Combinator,S21,
Endla,"BrisbaneQLD,Australia",Software that increases the value of oil & gas wells,Y Combinator,S21,
Levo,"MexicoCity,CDMX,Mexico",Levo is the Vanguard of Mexico for Effortless Investing,Y Combinator,S21,
Marble,"Seattle,WA,USA",A Virtual Property Manager for Long-Term Rentals,Y Combinator,S21,
HeyCharge,"Munich,Germany","Low-cost, high-scale EV charging platform for apartments (and more).",Y Combinator,S21,
Heimdal,"Kailua-Kona,HI,USA",We capture atmospheric carbon dioxide and stabilize the world's oceans,Y Combinator,S21,
Cumbuca,"SãoPaulo,StateofSãoPaulo,Brazil",Multiplayer banking with bill splitting for Brazilian families.,Y Combinator,S21,
EvidentlyAI,"SanFrancisco,CA,USA",Open-source monitoring for machine learning models,Y Combinator,S21,
Whaly,"Paris,France",Whaly is building a no-code Looker,Y Combinator,S21,
Payhippo,"Lagos,Nigeria",Loans to Nigeria's SMEs in under 3 hours,Y Combinator,S21,
Portão3,"Uberlândia,StateofMinasGerais,Brazil",We are the frictionless way for companies to make payments.,Y Combinator,S21,
Zensors,"SanFrancisco,CA,USA",Google Analytics for the physical world,Y Combinator,S21,
Flowly,"LosAngeles,CA,USA",Our mobile app reduces chronic pain for 100 million Americans. ,Y Combinator,S21,
HarmonicDiscovery,"NewYork,NY,USA",Multi-targeted therapeutics to treat complex diseases,Y Combinator,S21,
MakaniScience,"Irvine,CA,USA",Reinventing respiration monitoring,Y Combinator,S21,
Fizz,Unkown,Fizz is a debit card for college students that builds credit. ,Y Combinator,S21,
Hera,"Paris,France","Calendar app to prepare, join and follow-up on virtual meetings",Y Combinator,S21,
Lernit,"Monterrey,NuevoLeon,Mexico",Lattice for Latam with personalized learning and development,Y Combinator,S21,
AstekDiagnostics,"Baltimore,MD,USA",One-hour antibiotic sensitivity testing,Y Combinator,S21,
Freterium,"Casablanca,Morocco",Real-Time Collaborative Transport Management Platform,Y Combinator,S21,
Digistain,"London,UK",We Save Patients From Avoidable Chemotherapy ,Y Combinator,S21,
ProtexAI,"Limerick,Ireland","Computer vision that makes the industrial workplace, safer",Y Combinator,S21,
Inflow,"London,UK",A self-help app for people to manage their ADHD.,Y Combinator,S21,
Vinco,"Monterrey,NuevoLeon,Mexico",Retaining employees in LatAm via education,Y Combinator,S21,
Aleph,"NewYork,NY,USA",One source of truth for financial data.,Y Combinator,S21,
KaiPodLearning,"Boston,MA,USA",Making online learning more personal and more social,Y Combinator,S21,
Kodda,"Monterrey,NuevoLeon,Mexico",Lemonade for LatAm,Y Combinator,S21,
AlephSolutions,"BuenosAires,Argentina",Help global brands sell on online marketplaces,Y Combinator,S21,
Zoios,"Copenhagen,Denmark",Reinventing Analytics for HR.,Y Combinator,S21,
Kurios,"Lima,Peru",Cohort-based online courses for professionals in Latin America,Y Combinator,S21,
Encuadrado,"Santiago,SantiagoMetropolitanRegion,Chile",Payments and scheduling for services professionals in LATAM,Y Combinator,S21,
Clarity,"NewYork,NY,USA",The simplest all-in-one workspace for remote teams,Y Combinator,S21,
Dots,"SanFrancisco,CA,USA",Scale customer communities to drive revenue and retention,Y Combinator,S21,
Shimmer,"SanFrancisco,CA,USA",Online mental health support groups led by coaches,Y Combinator,S21,
Mixr,"Toronto,ON,Canada",Team building through online game tournaments.  ,Y Combinator,S21,
OneSchema,"SanFrancisco,CA,USA",10x faster CSV data setup for customer onboarding,Y Combinator,S21,
Arengu,"ACoruña,Spain",Build frictionless signup flows in minutes,Y Combinator,S21,
Invezo,"Denver,CO,USA",Bloomberg Terminal for Crypto,Y Combinator,S21,
Genei,"London,UK",Cliffs notes for content writers,Y Combinator,S21,
Sled,"Heidelberg,Germany",The fast and automated data catalog for the Snowflake data cloud.,Y Combinator,S21,
ShipBlu,"Cairo,CairoGovernorate,Egypt",Amazon Level Logistics for eCommerce Companies in MENA.,Y Combinator,S21,
Whalesync,"Seattle,WA,USA",The simplest no-code data pipeline,Y Combinator,S21,
MilkyWayAI,Singapore,Mobile app for CPG brands to connect to millions of stores globally,Y Combinator,S21,
Malloc,"Nicosia,Cyprus",A mobile app that protects your phone from spyware.,Y Combinator,S21,
Sequin,"SanFrancisco,CA,USA",Sequin empowers women to build credit and earn rewards. ,Y Combinator,S21,
FastFarma,"Quito,Ecuador","Digital pharmacy for Latam, that saves you money and time.",Y Combinator,S21,
Formance(fkaNumary),"Paris,France",Open-source financial ledger for marketplaces and fintech companies,Y Combinator,S21,
Mergent,"Austin,TX,USA",Cron scheduling on steroids,Y Combinator,S21,
Coinrule,"London,UK",Coinrule Automates Your Crypto Investments,Y Combinator,S21,
InfiussHealth,"Lagos,Nigeria",SAAS Platform for running Clinical research and trials in Africa,Y Combinator,S21,
LemonadeFinance,"Abuja,Nigeria",Digital bank for the African Diaspora,Y Combinator,S21,
MomoMedical,"SanFrancisco,CA,USA",We help nurses in nursing homes to be 30% more effective,Y Combinator,S21,
CometHealth,"PaloAlto,CA,USA",Digital platform for pelvic floor physical therapy,Y Combinator,S21,
Mable,"SanFrancisco,CA,USA",First personalized migraine clinic using genetics and telehealth.,Y Combinator,S21,
YemaachiBiotechnology,"Accra,Ghana",Diversifying precision cancer diagnostics and treatments,Y Combinator,S21,
Scispot,"Kitchener,ON,Canada",Life science operating platform,Y Combinator,S21,
LootRush,"SanFrancisco,CA,USA",A safe and friendly way to play crypto games.,Y Combinator,S21,
Cartpanda,"SãoPaulo,StateofSãoPaulo,Brazil",Shopify for Brazil. A complete ecosystem for online businesses.,Y Combinator,S21,
Intellect,Singapore,A modern-day mental health company for Asia.,Y Combinator,S21,
Hypercontext,"Toronto,ON,Canada","Meeting agendas, notes, & goals that tie back to your OKRs",Y Combinator,S21,
Arrow,Singapore,One-Click Checkouts for Southeast Asia,Y Combinator,S21,
Cloudthread,"SanFrancisco,CA,USA",Cloud cost efficiency. Engineering first.,Y Combinator,S21,
MazumaGo,"Victoria,BC,Canada",INSTANT PAYMENTS FOR CONSTRUCTION,Y Combinator,S21,
MindFi,Singapore,Transforming Mental Health for Corporate Asia,Y Combinator,S21,
Monto,"NewYork,NY,USA",Shopify App Store for Webflow Ecommerce,Y Combinator,S21,
Argonaut,"Sunnyvale,CA,USA",Automate DevOps on your cloud,Y Combinator,S21,
Apollo,"SanFrancisco,CA,USA",The card that rewards you with stock ,Y Combinator,S21,
mello,"SanFrancisco,CA,USA",The new standard to reduce employee burnout.,Y Combinator,S21,
Matidor.com,"Vancouver,BC,Canada",Project management on a live map,Y Combinator,S21,
inai,"DelawareCity,DE,USA",Segment for global payments,Y Combinator,S21,
Tasker,"NewYork,NY,USA",Tasker makes it easy to run background tasks without infrastructure,Y Combinator,S21,
Cero,"Santiago,SantiagoMetropolitanRegion,Chile",Automated communication between hospitals and patients in Latam,Y Combinator,S21,
MayaEats,"Sunnyvale,CA,USA",The World's Largest Virtual Restaurant Chain.,Y Combinator,S21,
fluke,"SãoCarlos,StateofSãoPaulo,Brazil",fluke is a full-digital mobile operator in Brazil,Y Combinator,S21,
DigiBuildSoftware,"Miami,FL,USA","We build construction software to improve projects, profits, & people.",Y Combinator,S21,
SigmaOS,"London,UK",The first web browser made for work!,Y Combinator,S21,
Palenca,"MexicoCity,CDMX,Mexico",Payroll API for LatAm,Y Combinator,S21,
Cloudanix,"Sunnyvale,CA,USA",One Security Platform For Cloud Infrastructure,Y Combinator,S21,
TrackChain,"Monterrey,NuevoLeon,Mexico",Reinventing Truck Freight Brokerage in Latam,Y Combinator,S21,
Enso,"Kraków,Poland",The most interactive ELT / data processing tool you have ever used.,Y Combinator,S21,
Monet,"Miami,FL,USA",Payroll-backed credits and cash advances in Latam,Y Combinator,S21,
testRigor,"SanFrancisco,CA,USA",Executable specifications in English for test automation,Y Combinator,S21,
Ivella,"SantaMonica,CA,USA",Building the future of banking for couples.,Y Combinator,S21,
Glitzi,"MexicoCity,CDMX,Mexico","At-home spa, beauty & grooming services marketplace for LatAm",Y Combinator,S21,
QOA,"Munich,Germany",We do for chocolate what Oatly did for milk.,Y Combinator,S21,
Warpfy,Singapore,We acquire and scale global D2C brands (Thrasio + SheIn),Y Combinator,S21,
Enerjazz,"Delhi,India",Making electric vehicle batteries affordable ,Y Combinator,S21,
Covie,"Austin,TX,USA",Programmatic building blocks for transacting with insurance,Y Combinator,S21,
Muse,"LosAngeles,CA,USA",Build your website as an immersive virtual world.  ,Y Combinator,S21,
Perfekto,"MexicoCity,CDMX,Mexico",Imperfect produce delivered from farm to table in LatAm,Y Combinator,S21,
Okani,"MexicoCity,CDMX,Mexico",Primary healthcare app for Latam.,Y Combinator,S21,
Pluggy,"SãoPaulo,StateofSãoPaulo,Brazil",Plaid for Brazil: we allow developers to access users' financial data ,Y Combinator,S21,
Govly,"Denver,CO,USA",We make selling to the government easy.,Y Combinator,S21,
Pideaky,"Monterrey,NuevoLeon,Mexico",Square for Latin America,Y Combinator,S21,
Breadcrumbs.io,"SanFrancisco,CA,USA",No-code scoring engine identifying your most engaged upsell opps,Y Combinator,S21,
Monto,"Monterrey,NuevoLeon,Mexico",Salary on-demand platform for Latin America,Y Combinator,S21,
Bree,"Vancouver,BC,Canada","Chime for Canada, starting with cash advances",Y Combinator,S21,
Repool,"NewYork,NY,USA",Making hedge funds easy to create and join. For everyone.,Y Combinator,S21,
Laudable,UnitedStates,Platform to find and leverage happy customers,Y Combinator,S21,
Sproutfi,"SãoPaulo,StateofSãoPaulo,Brazil",Latin Americas' first investing social network. Learn. Share. Invest.,Y Combinator,S21,
SenpAI.GG,"Boston,MA,USA",Personal gaming coach for PC gamers globally ,Y Combinator,S21,
Onebrief,"Austin,TX,USA",Onebrief makes military headquarters run seamlessly,Y Combinator,S21,
IonaMind,"London,UK",Software-based mental health treatments,Y Combinator,S21,
Keyri,"SanFrancisco,CA,USA",The QR authentication platform.,Y Combinator,S21,
Metlo,"SanFrancisco,CA,USA",Single source of truth for all business metrics,Y Combinator,S21,
Jovian,"Bengaluru,Karnataka,India",Online Stanford for Data Science and Machine Learning,Y Combinator,S21,
Playhouse,"SanFrancisco,CA,USA",TikTok for real estate,Y Combinator,S21,
DanteHQ,Singapore,Fundamental data for crypto.,Y Combinator,S21,
Rinse,"SanFrancisco,CA,USA",We're building the One Medical for dental,Y Combinator,S21,
SalaryBox,"Gurugram,Haryana,India",Gusto for India,Y Combinator,S21,
Hilos,"MexicoCity,CDMX,Mexico",Automate complex flows for WhatsApp without code.,Y Combinator,S21,
Aqua,"NewYork,NY,USA",Democratizing Private Equity Fund Investing through Lowered Minimums,Y Combinator,S21,
Kaya,"London,UK",Track and get insights across all your marketing activities,Y Combinator,S21,
Secoda,"Toronto,ON,Canada",The second brain for your data team,Y Combinator,S21,
Locale,"SanJose,CA,USA","The best local food from up to hours away, all in one box.",Y Combinator,S21,
PirouetteMedical,"Boston,MA,USA",We make injections as easy as pushing a button!,Y Combinator,S21,
MicroMeat,"Monterrey,NuevoLeon,Mexico",Technologies for scaling up cultured/clean meat production,Y Combinator,S21,
Kodex,"Boston,MA,USA",Easiest way for companies to process data requests from governments,Y Combinator,S21,
Verihubs,"Jakarta,Indonesia",All inclusive verification platform for Indonesia,Y Combinator,S21,
HyperTrader(formerlyHyperLinq),"Austin,TX,USA",Creating technology to give easy access to global markets,Y Combinator,S21,
Maroo,"NewYork,NY,USA",Modernizing payments for the ,Y Combinator,400Bglobalweddingsindustry,
Awesomic,"DelawareCity,DE,USA",Get design tasks done in 24h,Y Combinator,S21,
Fitia,"Lima,Peru",Automated meal planner for weight loss in LatAm,Y Combinator,S21,
trii,"Miami,FL,USA",M1 for Latam,Y Combinator,S21,
Pano,"MillValley,CA94941,USA",A living snapshot or your app w/ a built in knowledge base,Y Combinator,S21,
SafeBeatRx,"SanFrancisco,CA,USA",Live-saving ECG technology that replaces a hospitalization,Y Combinator,S21,
Brite,"SaltLakeCity,UT,USA",Software that helps employees pick their employee benefits.,Y Combinator,S21,
IvyHomes,"Bengaluru,Karnataka,India",We make instant offers to buy homes in India,Y Combinator,S21,
Commery,"NewYork,NY,USA",Marketplace to lease commercial real estate,Y Combinator,S21,
Konta,"Monterrey,NuevoLeon,Mexico",Turbotax for México and LATAM,Y Combinator,S21,
Tavus,"SanFrancisco,CA,USA",AI Generated Personalized Videos,Y Combinator,S21,
Zen,Unkown,Ergonomic (posture) benefit for employees at companies like Brex. ,Y Combinator,S21,
Basis,"SanFrancisco,CA,USA",Zapier for Data Science,Y Combinator,S21,
Forage,"LosAngeles,CA,USA",Online payment technology for the social safety net,Y Combinator,S21,
Nexus,"MountainView,CA,USA",Nexus offers a unified checking and investment account.,Y Combinator,S21,
LariatData,"NewYork,NY,USA",Observability for Machine Learning Teams,Y Combinator,S21,
Tablevibe,Singapore,Commission-free online ordering system for Restaurants,Y Combinator,S21,
DailyBot,"Pereira,Risaralda,Colombia",In-chat automation for work,Y Combinator,S21,
RendaloMaq,"Santiago,SantiagoMetropolitanRegion,Chile",Rent machinery in minutes in Latin America.,Y Combinator,S21,
Lago,"Paris,France",The Stripe Billing Open Source alternative,Y Combinator,S21,
Hypercore,"TelAviv-Yafo,Israel",Loan management software for private lenders,Y Combinator,S21,
Union54,"Lusaka,Zambia",Card Issuing API for Africa,Y Combinator,S21,
StudyStream,"London,UK",24/7 video platform & online community for students to study together,Y Combinator,S21,
Abbot,"SanFrancisco,CA,USA",Abbot helps your team keep track of customer conversations in Slack,Y Combinator,S21,
InstaKin,"Boston,MA,USA",Financial Platform for Migrant Families in America,Y Combinator,S21,
SnapCalorie,"Washington,DC,USA",Single photo nutrition tracking.,Y Combinator,S21,
Anakin,"NewYork,NY,USA","We automate pricing for companies like Flipkart, Walmart and Uber",Y Combinator,S21,
BiteNinja,"Memphis,TN,USA",Cloud labor for restaurants,Y Combinator,S21,
REPROSENT,"LosGatos,CA,USA",Helping patients fight cancer with their own data.,Y Combinator,S21,
Epinoma,"SanFrancisco,CA,USA",We engineer proteins that control the operating system of biology. ,Y Combinator,S21,
Watu,"NewYork,NY,USA",Shopify stores inside of Gmail,Y Combinator,S21,
MadEats,"Makati,MetroManila,Philippines",Online delivery-only restaurant group in the Philippines,Y Combinator,S21,
Sleek,"Toronto,ON,Canada",1-click checkout from every store on the internet + cash back rewards.,Y Combinator,S21,
Keeper,"Austin,TX,USA",We make software for bookkeepers.,Y Combinator,S21,
StriveMath,Singapore,Teaching Grade 4-10 Math Through Code,Y Combinator,S21,
PlusIdentity,"SanFrancisco,CA,USA",Password manager for startups,Y Combinator,S21,
Cabal,"SanFrancisco,CA,USA","Private workspace for founders, investors, and advisors to collaborate",Y Combinator,S21,
V-FlowMedical,"SanClemente,CA,USA",Transforming the lives of millions of women suffering from chronic…,Y Combinator,S21,
Kitchenful,"NewYork,NY,USA","Weekly meal planning and grocery shopping, done for you!",Y Combinator,S21,
AppX,"NewDelhi,Delhi,India",AppX helps social media creators launch their own mobile apps.,Y Combinator,S21,
Neodocs,"Mumbai,Maharashtra,India",Instant lab tests on your smartphone,Y Combinator,S21,
AlgoUniversity,"Hyderabad,Telangana,India",Building Job driven Virtual Tech University for India 🇮🇳,Y Combinator,S21,
Swipe,"Hyderabad,Telangana,India",Simple billing and payments for 75M+ Indian SMBs 🇮🇳,Y Combinator,S21,
EchoesHQ,"Amsterdam,Netherlands",Measure and communicate engineering activity,Y Combinator,S21,
AdvantageClub,"Gurugram,Haryana,India","Global platform for employee engagement with perks,rewards&early wages",Y Combinator,S21,
NinoFoods,"Mumbai,Maharashtra,India",Premium cloud kitchen brands in India,Y Combinator,S21,
Rivia.AI,"Bengaluru,Karnataka,India","Fastest way to create step-by-step ""how to"" guides  ",Y Combinator,S21,
BLUUMBIO,"Berkeley,CA,USA",We make bacteria and plants that clean up pollution.,Y Combinator,S21,
ParallelBio,"LosAngeles,CA,USA",Using the immune system to cure disease,Y Combinator,S21,
Zazos,"SãoPaulo,StateofSãoPaulo,Brazil",No-code HR platform for startups.,Y Combinator,S21,
Instacrops,"Santiago,SantiagoMetropolitanRegion,Chile",We help farmers maximize crop yields in LATAM.  ,Y Combinator,S21,
BoldVoice,"NewYork,NY,USA",Speech and accent coaching app for non-native English speakers,Y Combinator,S21,
SalaryBook,"Bengaluru,Karnataka,India","Mobile first solution for Payroll, employee & expense management",Y Combinator,S21,
ZeitMedical,"RedwoodCity,CA,USA",Immediate stroke detection at home,Y Combinator,S21,
Atmana,"Bengaluru,Karnataka,India",Helping 15-30 year olds control technology addictions,Y Combinator,S21,
ODWEN,"Delhi,India",AirBnB for Small Warehouses,Y Combinator,S21,
Deed,"NewYork,NY,USA",Making it easy for employees to donate and volunteer with good causes.,Y Combinator,S21,
PropReturns,"Mumbai,Maharashtra,India",Marketplace to invest in Indian Real Estate backed by data,Y Combinator,S21,
CoulombAI,"Bengaluru,Karnataka,India",Battery Analytics Platform for Electric Vehicles,Y Combinator,S21,
Mailmodo,"Bengaluru,Karnataka,India",No-code email marketing platform to send forms & widgets within emails,Y Combinator,S21,
Akudo,"Bengaluru,Karnataka,India",India's first learning-focused neobank for teenagers,Y Combinator,S21,
