Name,Location,Description,Accelerator,Batch,Status
Massdriver,"LosAngeles,CA,USA","Deploy secure, scalable cloud infrastructure in minutes not days",Y Combinator,W22,
RealityDefender,"NewYork,NY,USA",Enterprise Deepfake Detection,Y Combinator,W22,
Lizza,"Guadalajara,Jalisco,Mexico",Meesho for Latin America.,Y Combinator,W22,
Mono,"Bogotá,Bogota,Colombia",A bank account that integrates LatAm SMEs' finances and operations.,Y Combinator,W22,
NFTScoring,"NewYork,NY,USA",NFT Trading Platform,Y Combinator,W22,
CrediBook,"Jakarta,Indonesia",Faire for Indonesia,Y Combinator,W22,
RemiLabs,"SaltLakeCity,UT,USA",Everything a business needs to launch their own NFTs,Y Combinator,W22,
FreshFactory,"Jakarta,Indonesia",Smart Cold Chain Fulfillment Platform,Y Combinator,W22,
Onboard.io,"Detroit,MI,USA",Manage & automate customer onboarding and implementation,Y Combinator,W22,
Seis,"SanFrancisco,CA,USA",Banking 100% in Spanish for the 44 million US Spanish speakers,Y Combinator,W22,
Bananas,"Jakarta,Indonesia",Groceries delivered in 10 mins.,Y Combinator,W22,
Eventual,"SanFrancisco,CA,USA",Data Warehouse for Computer Vision,Y Combinator,W22,
AiSupervision,"Mannheim,Germany",The operating system for factory production lines,Y Combinator,W22,
PhoenixHydrogen,"Berkeley,CA,USA",First commodity marketplace for hydrogen.,Y Combinator,W22,
Aigis,"Jakarta,Indonesia",Indonesian digital health insurance provider,Y Combinator,W22,
Flike,"SanFrancisco,CA,USA",Effortlessly Embed Cutting-Edge AI Into Your Apps,Y Combinator,W22,
Alima,"MexicoCity,CDMX,Mexico",Produce procurement made easy,Y Combinator,W22,
Vecindario,"Medellín,Medellin,Antioquia,Colombia",We make it easier for real estate to sell properties and mortgages.,Y Combinator,W22,
KarateLabs,"Wilmington,DE,USA",Open-core solution unifying API & UI test automation ,Y Combinator,W22,
HippoBuild,"Bogotá,Bogota,Colombia",The Operating System of the construction industry,Y Combinator,W22,
Pantore,"SãoPaulo,StateofSãoPaulo,Brazil",Platform for restaurants to order groceries in Brazil,Y Combinator,W22,
beUdelivery,"AddisAbaba,Ethiopia",Food delivery service in Africa,Y Combinator,W22,
GAVEL,"Berlin,Germany",Live shopping marketplace,Y Combinator,W22,
Cofactr,"NewYork,NY,USA",The automated electronics supply chain platform for hardware teams,Y Combinator,W22,
SixWheel,"SanMateo,CA,USA",Make diesel semi trucks hybrid-electric,Y Combinator,W22,
KorrAI,"HalifaxRegionalMunicipality,NS,Canada",Digital twins for the natural resources sector,Y Combinator,W22,
PinaEarth,"Munich,Germany",Unlocking carbon markets for European forest owners,Y Combinator,W22,
BeyondAero,"Toulouse,France",Zero-emission private aircraft using hydrogen-electric propulsion,Y Combinator,W22,
Realize,"NewYork,NY,USA",Connect investment accounts to your app.,Y Combinator,W22,
"OrigamiTherapeutics,Inc.","SanDiego,CA,USA",Oral drugs to halt neurodegeneration,Y Combinator,W22,
Cinapse,"LosAngeles,CA,USA",The Operating System of Hollywood,Y Combinator,W22,
AirMyne,"Berkeley,CA,USA",CO2 removal from air at industrial scale,Y Combinator,W22,
CloudEagle.ai,"PaloAlto,CA,USA",SaaS Research and Procurement Platform,Y Combinator,W22,
MoojiMeats,"Baltimore,MD,USA",Enabling the next generation of alternative meats,Y Combinator,W22,
Poko,Singapore,Replace Traditional Companies with DAOs Globally,Y Combinator,W22,
GoSats,"Bengaluru,Karnataka,India",GoSats helps you earn free bitcoin when you shop in India.,Y Combinator,W22,
Glocally,"Munich,Germany",The last mile delivery service for e-commerce businesses in Europe.,Y Combinator,W22,
DeallJobs,"Jakarta,Indonesia","Career portal, revolutionized",Y Combinator,W22,
ImpossibleMining,"SanJose,CA,USA",Underwater robotic vehicles that collect battery metals responsibly,Y Combinator,W22,
Trusty,"SanFrancisco,CA,USA",Private MLS for off-market real estate,Y Combinator,W22,
Syncware,Unkown,Helping warehouses optimize operations with AI  ,Y Combinator,W22,
TAI,"SanFrancisco,CA,USA",Control All of Your Investments from a Single App,Y Combinator,W22,
Circular,Singapore,Subscription consumer electronics for Asia,Y Combinator,W22,
PowerhouseAI,Singapore,"Automating warehouse inventory checks, with a phone",Y Combinator,W22,
HelloGuru,"SanFrancisco,CA,USA",Sync data from data warehouses to business systems,Y Combinator,W22,
GIMO,"Hanoi,HoànKiếm,Hanoi,Vietnam",We help underbanked workers get paid before payday,Y Combinator,W22,
OlympianMotors,"LosAngeles,CA,USA",Building classy Electric Vehicles with a disruptive production model,Y Combinator,W22,
Netmaker,"Asheville,NC,USA",Automated WireGuard networks for distributed systems and Kubernetes,Y Combinator,W22,
Cashmere,"SanFrancisco,CA,USA",Crypto wallet for web3 startups,Y Combinator,W22,
PigeonLoans,"Miami,FL,USA",Simplifying loans with your friends & family.,Y Combinator,W22,
TheAnkler,"LosAngeles,CA,USA",Subscription entertainment news,Y Combinator,W22,
Darsel,Unkown,Chatbot teaching K12 math in developing countries,Y Combinator,W22,
Verdn,"London,UK",An API to bundle trackable climate donations with any transaction.,Y Combinator,W22,
Heptabase,"TaipeiCity,Taiwan",The visual note-taking tool for learning complex topics.,Y Combinator,W22,
RevivingMind,"Boston,MA,USA",Addressing Loneliness and Isolation for Seniors,Y Combinator,W22,
AnjaHealth,"LosAngeles,CA,USA",The First Stem Cell Safe,Y Combinator,W22,
Koko,"SanFrancisco,CA,USA",Making mental health accessible to everyone.,Y Combinator,W22,
10minutesquad,"Seoul,SouthKorea",GoPuff for Korea,Y Combinator,W22,
Finku,"Jakarta,Indonesia",Personal finance platform for Indonesia,Y Combinator,W22,
PloverParametrics,"SanFrancisco,CA,USA",Climate change insurance that pays out immediately.,Y Combinator,W22,
Avocademy,"Miami,FL,USA",We teach UX/UI design and then help people get great jobs. ,Y Combinator,W22,
